,INSTNM,School Type,Starting Median Salary,Region
0,Massachusetts Institute of Technology,Engineering,72200.0,Northeastern
1,California Institute of Technology,Engineering,75500.0,California
2,Harvey Mudd College,Engineering,71800.0,California
3,New York University,Engineering,62400.0,Northeastern
4,Cooper Union for the Advancement of Science and Art,Engineering,62200.0,Northeastern
5,Worcester Polytechnic Institute,Engineering,61000.0,Northeastern
6,Carnegie Mellon University,Engineering,61800.0,Northeastern
7,Rensselaer Polytechnic Institute,Engineering,61100.0,Northeastern
8,Georgia Institute of Technology,Engineering,58300.0,Southern
9,Colorado School of Mines,Engineering,58100.0,Western
10,Stevens Institute of Technology,Engineering,60600.0,Northeastern
11,Illinois Institute of Technology,Engineering,56000.0,Midwestern
12,Wentworth Institute of Technology,Engineering,53000.0,Northeastern
13,Virginia Polytechnic Institute and State University,Engineering,53500.0,Southern
14,South Dakota School of Mines and Technology,Engineering,55800.0,Midwestern
15,New Mexico Institute of Mining and Technology,Engineering,51000.0,Western
16,Rochester Institute of Technology,Engineering,48900.0,Northeastern
17,Tennessee Technological University,Engineering,46200.0,Southern
18,University of Illinois at Urbana-Champaign,Party,52900.0,Midwestern
19,University of Maryland-College Park,Party,52000.0,Southern
20,University of California-Santa Barbara,Party,50500.0,California
21,The University of Texas at Austin,Party,49700.0,Southern
22,SUNY at Albany,Party,44500.0,Northeastern
23,University of Florida,Party,47100.0,Southern
24,Louisiana State University and Agricultural & Mechanical College,Party,46900.0,Southern
25,University of Georgia,Party,44100.0,Southern
26,Pennsylvania State University-Main Campus,Party,49900.0,Northeastern
27,Arizona State University-Downtown Phoenix,Party,47400.0,Western
28,Indiana University-Bloomington,Party,46300.0,Midwestern
29,University of Iowa,Party,44700.0,Midwestern
30,Randolph-Macon College,Party,42600.0,Southern
31,The University of Alabama,Party,41300.0,Southern
32,University of Mississippi,Party,41400.0,Southern
33,University of New Hampshire-Main Campus,Party,41800.0,Northeastern
34,West Virginia University,Party,43100.0,Southern
35,The University of Tennessee-Knoxville,Party,43800.0,Southern
36,Ohio University-Main Campus,Party,42200.0,Midwestern
37,Florida State University,Party,42100.0,Southern
38,Bucknell University,Liberal Arts,54100.0,Northeastern
39,Colgate University,Liberal Arts,52800.0,Northeastern
40,Amherst College,Liberal Arts,54500.0,Northeastern
41,Lafayette College,Liberal Arts,53900.0,Northeastern
42,Bowdoin College,Liberal Arts,48100.0,Northeastern
43,College of the Holy Cross,Liberal Arts,50200.0,Northeastern
44,Occidental College,Liberal Arts,51900.0,California
45,Washington and Lee University,Liberal Arts,53600.0,Southern
46,Swarthmore College,Liberal Arts,49700.0,Northeastern
47,Davidson College,Liberal Arts,46100.0,Southern
48,Carleton College,Liberal Arts,47500.0,Midwestern
49,Williams College,Liberal Arts,51700.0,Northeastern
50,Pomona College,Liberal Arts,48600.0,California
51,Wesleyan University,Liberal Arts,46500.0,Northeastern
52,Bates College,Liberal Arts,47300.0,Northeastern
53,Union College,Liberal Arts,47200.0,Northeastern
54,University of Richmond,Liberal Arts,48600.0,Southern
55,Vassar College,Liberal Arts,46000.0,Northeastern
56,Middlebury College,Liberal Arts,47700.0,Northeastern
